

Time\Court	C1	C2	C3	C4	C5	C6
06:00	false	false	false	false	false	false
06:30	false	false	false	false	false	false
07:00	false	false	false	true	false	false
07:30	false	false	false	true	false	false
08:00	false	false	false	false	false	false
08:30	false	false	false	false	false	false
09:00	false	false	true	false	false	false
09:30	false	false	true	false	false	false
10:00	true	true	false	true	false	false
10:30	true	true	false	true	false	false
11:00	true	true	false	true	false	false
11:30	true	true	false	true	false	false
12:00	true	true	true	true	true	true
12:30	true	true	true	true	true	true
13:00	true	true	true	true	true	false
13:30	true	true	true	true	true	false
14:00	true	true	true	true	true	false
14:30	true	true	true	true	true	false
15:00	true	true	true	true	true	false
15:30	true	true	true	true	true	false
16:00	true	true	true	true	true	true
16:30	true	true	true	true	true	true
17:00	true	true	true	true	true	false
17:30	true	true	true	true	true	false
18:00	true	true	true	true	true	true
18:30	true	true	true	true	true	true
19:00	true	true	true	true	false	true
19:30	true	true	true	true	false	true
20:00	true	true	true	true	false	true
20:30	true	true	true	true	false	true
21:00	true	true	true	false	true	true
21:30	true	true	true	false	true	true
22:00	true	true	true	true	true	true
22:30	true	true	true	true	true	true
23:00	true	true	true	true	true	true
23:30	true	true	true	true	true	true
